Model,No_of_new_rxns,No_of_rxns_with_ec_numbers_from_clean
Alistipes_sp_AL_1,422,93
Alistipes_sp_HGB5,400,88
Alistipes_timonensis_JC136,360,63
Alkalibaculum_bacchi_DSM_22112_Ga0244545_101,420,117
Alkaliphilus_transvaalensis_ATCC_700919,425,98
Allobaculum_stercoricanis_DSM_13633,365,81
Alloiococcus_otitis_ATCC_51267,378,53
Alloprevotella_rava_F0323,373,65
Alloprevotella_tannerae_ATCC_51259,462,59
Alloscardovia_omnicolens_1036_GVAG_103_587_17548_30_31,375,71
Alloscardovia_omnicolens_DSM_21503,373,77
Alloscardovia_omnicolens_F0580,376,73
Amazonia_massiliensis_MS4,483,86
Aminivibrio_pyruvatiphilus_DSM_25964,454,86
Anaerobacillus_macyae_DSM_16346,361,116
Anaerobaculum_hydrogeniformans_OS1_ATCC_BAA_1850,448,59
Anaerobiospirillum_succiniciproducens_DSM_640001,368,83
Anaerococcus_hydrogenalis_ACS_025_V_Sch4,471,62
Anaerococcus_hydrogenalis_DSM_7454,442,61
Anaerococcus_jeddahensis_DSM_100537,500,100
Anaerococcus_lactolyticus_ATCC_51172,347,77
Anaerococcus_lactolyticus_S7_1_13,391,29
Anaerococcus_obesiensis_ph10,404,73
Anaerococcus_prevotii_ACS_065_V_Col13,390,70
Anaerococcus_prevotii_DSM_20548,419,72
Anaerococcus_rubeinfantis_DSM_101186,521,106
Anaerococcus_senegalensis_JC48,359,63
Anaerococcus_tetradius_ATCC_35098,373,68
Anaerococcus_tetradius_MJR8151,360,63
Anaerococcus_vaginalis_ATCC_51170,429,58
Anaerofustis_stercorihominis_DSM_17244,402,81
Anaeroglobus_geminatus_F0357,468,74
Anaeroplasma_bactoclasticum_ATCC_27112,314,92
Anaerosalibacter_bizertensis_Med78_601_WT_4W_RMD_3,458,93
Anaerosalibacter_massiliensis_ND1,472,108
Anaerosporobacter_mobilis_DSM_15930,352,103
Anaerostipes_caccae_DSM_14662,370,93
Anaerostipes_hadrus_DSM_3319,341,94
Anaerostipes_sp_3_2_56FAA,386,97
Anaerotignum_lactatifermentans_DSM_14214,366,72
Anaerotignum_propionicum_DSM_1682,350,72
Anaerotruncus_colihominis_DSM_17241,384,92
Anaerotruncus_sp_G3_2012,489,103
Anaerovorax_odorimutans_DSM_5092,364,101
Aneurinibacillus_aneurinilyticus_ATCC_12856,384,102
Arcanobacterium_haemolyticum_DSM_20595,468,85
Arcobacter_butzleri_7h1h,423,71
Arcobacter_butzleri_ED_1,423,77
Arcobacter_butzleri_JV22,356,70
Arcobacter_butzleri_RM4018,397,68
Ardenticatena_maritima_110S,378,74
Arthrobacter_castelli_DSM_16402,472,99
Atopobium_minutum_10063974,428,88
Atopobium_parvulum_DSM_20469,392,50
Atopobium_rimae_ATCC_49626,452,86
Atopobium_vaginae_CMW7778A,295,60
Atopobium_vaginae_DSM_15829,318,66
Atopobium_vaginae_PB189_T1_4,292,52
Auritidibacter_ignavus_IMMIB_L_1656,360,75
Bacillus_altitudinis_41KF2b,400,105
Bacillus_altitudinis_S_1,392,107
Bacillus_amyloliquefaciens_DSM7,381,92
Bacillus_amyloliquefaciens_FZB42,336,87
Bacillus_amyloliquefaciens_LL3,345,101
Bacillus_amyloliquefaciens_TA208,354,99
Bacillus_amyloliquefaciens_XH7,351,97
Bacillus_amyloliquefaciens_Y2,320,90
Bacillus_amyloliquefaciens_subsp_amyloliquefaciens_DC_12,385,88
Bacillus_andreraoultii_KW_12,312,86
Bacillus_atrophaeus_1013_1,442,99
Bacillus_atrophaeus_1013_2,438,97
Bacillus_atrophaeus_1942,424,98
Bacillus_atrophaeus_ATCC_49822_1,390,106
Bacillus_atrophaeus_ATCC_49822_2,429,95
Bacillus_atrophaeus_ATCC_9372_1,429,99
Bacillus_atrophaeus_ATCC_9372_2,436,99
Bacillus_atrophaeus_BACI051_E,423,99
Bacillus_atrophaeus_BACI051_N,430,95
Bacillus_atrophaeus_C89,419,97
Bacillus_atrophaeus_DJHJ8,340,105
Bacillus_atrophaeus_Detrick_1,436,99
Bacillus_atrophaeus_Detrick_2,430,99
Bacillus_atrophaeus_Detrick_3,451,99
Bacillus_atrophaeus_UCMB_5137,456,106
Bacillus_atrophaeus_str_Dugway,435,101
Bacillus_cereus_03BB102,395,83
Bacillus_cereus_03BB108,417,93
Bacillus_cereus_172560W,408,90
